params,mean_test_score,std_test_score
"{'max_depth': None, 'n_estimators': 100}",0.6685163116447473,0.009781965024750408
"{'max_depth': None, 'n_estimators': 200}",0.673008532892926,0.006295033826587983
"{'max_depth': 10, 'n_estimators': 100}",0.426637474913337,0.015389741052568016
"{'max_depth': 10, 'n_estimators': 200}",0.41939988717001525,0.0182683918118961
"{'max_depth': 20, 'n_estimators': 100}",0.5239214826837975,0.007701199149165113
"{'max_depth': 20, 'n_estimators': 200}",0.5254685994207876,0.009654950650456424
